,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
40 11,55 11,,,,,,,,,,
05 11,11 11,17 11,23 13,29 11,35 11,40 11,45 13,50 11,55 11,,
00 11,05 13,10 11,15 11,20 11,25 13,30 11,35 11,40 11,45 13,50 11,55 11
00 11,06 13,12 11,18 11,24 13,30 11,40 13,50 11,,,,
00 11,10 13,20 11,30 11,40 13,50 11,,,,,,
00 11,12 13,24 11,36 50,48 11,,,,,,,
00 11,12 13,24 11,36 50,48 11,,,,,,,
00 11,12 13,24 11,36 50,48 11,,,,,,,
00 11,12 13,24 11,36 50,48 11,,,,,,,
00 11,12 13,24 11,36 50,48 11,,,,,,,
00 11,12 13,24 11,36 11,48 11,,,,,,,
00 11,12 13,24 11,36 11,48 11,,,,,,,
00 13,07 11,15 11,22 13,30 11,37 11,45 13,52 11,,,,
00 11,07 11,15 13,22 11,30 11,37 11,45 13,52 11,,,,
00 11,12 11,24 13,36 11,48 11,,,,,,,
00 11,15 11,30 13,45 11,,,,,,,,
00 11,30 11,,,,,,,,,,
00 11,,,,,,,,,,,
